	GO	0	1	2
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_0	CoShReU Cold Shock Response Upregulated	-5.185/-0.000	-0.011/-1.154	0.000/-1.663
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_1	OxDeReD Oxygen Deprivation Response Downregulated	-3.259/-0.000	-0.015/-1.118	-0.060/-0.566
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_2	GlBeSyU Glycine Betaine Synthesis Upregulated	0.000/-0.223	-0.001/-1.802	-2.443/-0.000
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_3	AropD ArcAB operon Downregulated	-2.565/-0.000	-0.028/-0.894	-0.068/-0.527
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_4	OxStReU Oxidative Stress Response Upregulated	-0.183/-0.198	-1.599/-0.003	-0.001/-1.901
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_5	SOReU SOS Response Upregulated	0.000/-0.714	-0.035/-0.772	-1.481/-0.004
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_6	SoReU SoxRS Regulon Upregulated	-0.175/-0.143	-1.125/-0.005	0.000/-1.338
d6_amp_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_7	FNopD FNR operon Downregulated	-1.211/0.000	-0.000/-0.651	-0.000/-0.077
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_0	OxDeReD Oxygen Deprivation Response Downregulated	-10.718/0.000	-0.000/-6.155	0.000/-1.333
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_1	AropD ArcAB operon Downregulated	-9.854/0.000	-0.000/-5.617	0.000/-1.295
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_2	OxDeReU Oxygen Deprivation Response Upregulated	0.000/-2.212	-0.972/-0.018	-0.524/-0.061
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_3	CoShReU Cold Shock Response Upregulated	-1.624/-0.002	-0.000/-2.778	-1.272/-0.005
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_4	GeStReU General Stress Response Upregulated	0.000/-1.465	-1.594/-0.001	-0.061/-0.377
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_5	AropU ArcAB operon Upregulated	0.000/-1.465	-0.629/-0.044	-0.540/-0.049
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_6	CyHeShReU Cytoplasmic Heat Shock Response Upregulated	-0.750/-0.034	-0.002/-1.961	-1.627/-0.002
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_7	HeShReU Heat Shock Response Upregulated	-0.431/-0.113	-0.004/-1.636	-1.966/-0.001
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_8	rpReU rpoH Regulon Upregulated	-0.967/-0.017	-0.001/-1.997	-1.319/-0.005
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_9	SOReU SOS Response Upregulated	0.000/-1.282	-1.337/-0.003	-0.080/-0.308
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_10	OsStReU Osmotic Stress Response Upregulated	-0.004/-1.275	-1.784/-0.001	-0.025/-0.634
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_11	OxStReU Oxidative Stress Response Upregulated	-0.192/-0.242	-0.856/-0.025	0.000/-1.257
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_sr_P.1_PAGE_12	DrReU Drug Resistance Upregulated	-0.002/-1.683	-1.312/-0.008	-0.207/-0.223
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_0	ArcA_Down ArcA_Down	-12.693/0.000	-0.000/-2.775	-0.018/-1.120
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_1	FNR_Down FNR_Down	-6.876/-0.000	-0.019/-1.139	-0.011/-1.298
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_2	PspF_Up PspF_Up	0.000/-0.086	0.000/-3.395	-3.837/-0.000
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_3	CpxR_Down CpxR_Down	-0.292/-0.071	-0.000/-3.641	-3.646/-0.000
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_4	PdhR_Down PdhR_Down	-3.298/-0.000	-0.004/-1.179	-0.000/-0.412
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_5	NagC_Up NagC_Up	-2.839/0.000	-0.000/-1.353	-0.000/-0.164
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_6	IHF_Up IHF_Up	-0.022/-0.809	-0.001/-2.298	-3.362/-0.000
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_7	ModE_Down ModE_Down	-2.977/-0.000	-0.004/-1.428	-0.164/-0.218
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_8	H-NS_Down H-NS_Down	0.000/-0.857	-0.007/-1.437	-2.275/-0.001
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_9	Fis_Up Fis_Up	-2.377/-0.000	-0.243/-0.262	-0.011/-1.260
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_10	FlhDC_Up FlhDC_Up	0.000/-0.696	-2.341/-0.000	-0.002/-1.689
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_11	Lrp_Down Lrp_Down	-2.006/-0.001	-0.189/-0.257	-0.005/-1.141
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_12	IscR_Down IscR_Down	0.000/-0.275	-1.660/0.000	0.000/-1.326
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_13	FNR_Up FNR_Up	-2.311/-0.001	-0.022/-1.120	-0.309/-0.220
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_14	NagC_Down NagC_Down	-0.955/-0.008	-0.448/-0.066	0.000/-1.242
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_15	NarL_Up NarL_Up	-1.014/-0.010	-0.631/-0.050	-0.002/-1.560
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_16	IdnR_Down IdnR_Down	0.000/-0.034	-0.000/-1.353	-1.529/-0.000
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_17	GadE_Up GadE_Up	-1.815/-0.001	-0.005/-1.508	-0.548/-0.068
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_18	LexA_Down LexA_Down	0.000/-0.449	-0.014/-1.117	-1.625/-0.003
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_19	CsgD_Up CsgD_Up	0.000/-0.120	-0.003/-1.403	-1.710/-0.001
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_20	GadX_Up GadX_Up	0.000/-0.240	-0.007/-1.267	-1.666/-0.002
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_21	NarL_Down NarL_Down	0.000/-0.839	-1.048/-0.018	-0.064/-0.602
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_22	ExuR_Down ExuR_Down	-0.000/-0.137	-0.006/-1.179	-1.471/-0.002
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_23	RcsAB_Down RcsAB_Down	0.000/-0.086	-0.004/-1.179	-1.414/-0.002
d6_amp_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_24	UlaR_Down UlaR_Down	0.000/-0.086	-0.004/-1.179	-1.414/-0.002
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_0	ArcA_Down ArcA_Down	-15.589/0.000	0.000/-13.654	-0.427/-0.100
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_1	FNR_Down FNR_Down	-13.251/0.000	0.000/-10.634	-0.159/-0.272
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_2	PspF_Up PspF_Up	-0.000/-0.218	-0.000/-2.822	-4.905/-0.000
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_3	IHF_Down IHF_Down	-4.138/-0.000	-0.000/-2.638	-0.024/-0.660
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_4	Fur_Up Fur_Up	-3.941/-0.000	-0.000/-2.937	0.000/-0.259
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_5	Fis_Up Fis_Up	-4.155/-0.000	-0.000/-3.299	-0.181/-0.242
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_6	PurR_Down PurR_Down	-3.492/-0.000	-0.001/-2.241	0.000/-0.578
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_7	GadE_Up GadE_Up	-3.114/-0.000	-0.001/-2.178	0.000/-0.334
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_8	FruR_Up FruR_Up	-1.008/-0.009	-0.000/-2.569	-1.950/-0.000
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_9	IHF_Up IHF_Up	-0.010/-1.231	-0.162/-0.374	-2.189/-0.001
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_10	NarL_Up NarL_Up	-2.290/-0.001	-0.006/-1.379	0.000/-0.559
d6_clust2_FDR0.01_discrete_vs_5.txt_PO_tf_P.1_PAGE_11	TyrR_Down TyrR_Down	0.000/-0.393	-0.011/-0.947	-2.330/-0.000
