	GO	0	1	2
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_0	GO:0006412 translation	-28.562/0.000	0.000/-21.506	0.000/-0.797
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_1	GO:0003723 RNA binding	-13.054/0.000	0.000/-12.444	-0.977/-0.015
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_2	GO:0003735 structural constituent of ribosome	-13.300/0.000	0.000/-10.080	0.000/-0.430
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_3	GO:0030529 ribonucleoprotein complex	-13.004/0.000	-0.000/-9.799	0.000/-0.445
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_4	GO:0004812 aminoacyl-tRNA ligase activity	-12.751/0.000	0.000/-10.362	0.000/-0.195
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_5	GO:0005840 ribosome	-12.249/0.000	-0.000/-9.237	0.000/-0.422
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_6	GO:0006418 tRNA aminoacylation for protein translation	-11.434/0.000	-0.000/-9.414	0.000/-0.150
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_7	GO:0006099 tricarboxylic acid cycle	0.000/-0.319	-0.000/-5.250	-8.929/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_8	GO:0016874 ligase activity	-8.310/-0.000	-0.000/-7.192	-0.380/-0.080
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_9	GO:0019843 rRNA binding	-7.931/-0.000	-0.000/-6.030	0.000/-0.278
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_10	GO:0008360 regulation of cell shape	-0.952/-0.013	-0.000/-6.165	-7.034/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_11	GO:0015935 small ribosomal subunit	-6.698/-0.000	-0.000/-5.779	0.000/-0.045
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_12	GO:0003989 acetyl-CoA carboxylase activity	-5.965/0.000	-0.000/-5.227	-0.000/-0.030
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_13	GO:0006351 transcription, DNA-dependent	-5.965/0.000	-0.000/-5.227	-0.000/-0.030
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_14	GO:0007049 cell cycle	-2.114/-0.001	-0.000/-5.868	-4.555/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_15	GO:0051301 cell division	-2.195/-0.001	-0.000/-5.245	-3.674/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_16	GO:0009317 acetyl-CoA carboxylase complex	-4.468/-0.000	0.000/-3.916	0.000/-0.022
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_17	GO:0006353 transcription termination	-4.811/-0.000	-0.000/-4.085	0.000/-0.045
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_18	GO:0006417 regulation of translation	-4.647/-0.000	-0.000/-3.765	0.000/-0.090
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_19	GO:0000104 succinate dehydrogenase activity	0.000/-0.072	-0.000/-2.949	-4.336/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_20	GO:0048038 quinone binding	-0.000/-0.188	-0.000/-2.527	-4.311/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_21	GO:0003676 nucleic acid binding	-3.200/-0.000	-0.000/-4.566	-1.736/-0.001
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_22	GO:0005624 membrane fraction	-2.433/-0.000	-0.000/-4.415	-2.425/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_23	GO:0003899 DNA-directed RNA polymerase activity	-4.164/-0.000	-0.000/-3.450	0.000/-0.060
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_24	GO:0050136 NADH dehydrogenase (quinone) activity	0.000/-0.217	-0.000/-2.280	-4.041/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_25	GO:0003743 translation initiation factor activity	-3.876/-0.000	-0.000/-3.331	-0.000/-0.030
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_26	GO:0006413 translational initiation	-3.876/-0.000	-0.000/-3.331	-0.000/-0.030
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_27	GO:0009088 threonine biosynthetic process	-3.876/-0.000	-0.000/-3.331	-0.000/-0.030
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_28	GO:0000049 tRNA binding	-3.951/-0.000	-0.000/-3.095	0.000/-0.120
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_29	GO:0005658 alpha DNA polymerase:primase complex	0.000/-0.101	-0.000/-2.437	-3.802/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_30	GO:0006269 DNA replication, synthesis of RNA primer	0.000/-0.101	-0.000/-2.437	-3.802/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_31	GO:0003916 DNA topoisomerase activity	-1.699/-0.000	-0.000/-3.734	-2.244/-0.000
ipageInput_fig4_signif_SBC100_vs_SBC96.txt_PO_go_P.05_PAGE_32	GO:0006265 DNA topological change	-1.699/-0.000	-0.000/-3.734	-2.244/-0.000
